,시리얼번호,기온(℃),조도(lux),자외선(UVI),자치구,주소,위도,경도,idx,temp_rank,uv_rank,lux_rank,sum_val
437,V02Q1940796,26.030841121495328,2430.803738317757,0.0588785046728972,종로구,서울특별시 종로구 숭인동 178-167,37.57484815,127.0199828,416,575.7950000000001,156.23999999999998,143.165,875.2
370,V02Q1940862,25.790677966101704,2522.567796610169,0.06694915254237288,구로구,서울특별시 구로구 구로동 742-80,37.48887854,126.8851157,349,552.653,172.32,149.226,874.199
312,V02Q1940533,25.66700000000001,2738.64,0.07599999999999997,관악구,서울특별시 관악구 신림동 562,37.48305759,126.9079688,292,525.654,186.0,162.184,873.838
133,V02Q1940133,25.439316239316238,3586.957264957265,0.11452991452991453,영등포구,서울특별시 영등포구 양평동4가 93-1,37.53685591,126.8948496,116,443.55500000000006,228.23999999999998,201.894,873.6890000000001
386,V02Q1940459,25.82347826086957,2474.1130434782613,0.06434782608695651,마포구,서울특별시 마포구 성산동 54-16,37.56451061,126.9116219,365,559.2650000000001,168.48,145.464,873.2090000000001
32,V02Q1940278,25.318421052631567,7259.570175438596,0.2710526315789475,동작구,서울특별시 동작구 노량진동 84-102,37.5124009,126.9425468,20,398.37300000000005,251.28,221.958,871.611
263,V02Q1940555,25.57685185185185,3027.1574074074074,0.08518518518518517,관악구,서울특별시 관악구 봉천동 738-360,37.48547764,126.9474934,244,494.79800000000006,197.51999999999998,178.695,871.0129999999999
148,V02Q1940174,25.43652173913044,3642.5826086956517,0.1060869565217391,영등포구,서울특별시 영등포구 양평동1가 251-1,37.52416526,126.8870815,131,443.004,224.64,203.357,871.001
326,V02Q1940647,25.668041237113403,2708.175257731959,0.07422680412371134,마포구,서울특별시 마포구 공덕동 23-1,37.54948025,126.958483,306,526.205,182.64,160.303,869.148
101,V02Q1940686,25.379797979797985,4078.2727272727284,0.13434343434343432,용산구,서울특별시 용산구 이태원동 260-118,37.54135461,126.9911155,84,422.617,235.92,209.83599999999998,868.373
102,V02Q1940302,25.409174311926602,3427.522935779817,0.13394495412844032,중구,서울특별시 중구 순화동 207-6,37.5595092,126.9718932,85,434.18800000000005,235.67999999999998,197.505,867.373
221,V02Q1940774,25.52886597938143,3128.958762886598,0.09175257731958764,양천구,서울특별시 양천구 목동 901,37.53851648,126.878244,202,476.61500000000007,207.6,183.084,867.299
415,V02Q1940867,25.840869565217403,2436.1739130434785,0.060869565217391286,양천구,서울특별시 양천구 목동 621-19,37.54502804,126.8646607,394,561.469,161.51999999999998,143.792,866.7810000000001
187,V02Q1940725,25.45500000000001,3468.48,0.09799999999999998,관악구,서울특별시 관악구 신림동 1676-17,37.47982135,126.9023653,169,451.82000000000005,215.51999999999998,199.386,866.726
336,V02Q1940951,25.64705882352943,2787.1176470588234,0.07310924369747898,양천구,서울특별시 양천구 신월동 802,37.53124609,126.8361285,316,520.695,180.23999999999998,165.319,866.254
309,V02Q1940743,25.628301886792453,2784.075471698113,0.07641509433962264,성동구,서울특별시 성동구 성수동2가 574-9,37.53641965,127.056427,289,513.532,186.72,164.90099999999998,865.153
400,V02Q1940619,25.80091743119268,2441.807339449541,0.062385321100917435,마포구,서울특별시 마포구 신공덕동 8-3,37.54618548,126.9561104,379,555.408,165.12,144.21,864.738
