"STDR_YM_CD(기준_년월_코드)","RD_LINK_ID(도로링크_ID)","SIGNGU_CD(시군구코드)","ADSTRD_CD(행정동코드)","DAYWEEK_CD(요일코드)","AGRDE_CD(연령대코드)","TMZON_CD(시간대코드)","FLPOP_CO(유동인구_수)"
"201612","6851","11320","11320511","2","40","04",13.438625
"201612","6851","11320","11320511","2","40","05",17.327625
"201612","6851","11320","11320511","2","40","06",5.079875
"201612","6851","11320","11320511","2","50","00",59.416375
"201612","6851","11320","11320511","2","50","01",0.128125
"201612","6851","11320","11320511","2","50","02",8.055375
"201612","6851","11320","11320511","2","50","03",13.103125
"201612","6851","11320","11320511","2","50","04",14.378875
"201612","6851","11320","11320511","2","50","05",18.0335
"201612","6851","11320","11320511","2","50","06",5.717375
"201612","6851","11320","11320511","2","60","00",30.122
"201612","6851","11320","11320511","2","60","01",0
"201612","6851","11320","11320511","2","60","02",4.122375
"201612","6851","11320","11320511","2","60","03",8.620375
"201612","6851","11320","11320511","2","60","04",8.729
"201612","6851","11320","11320511","2","60","05",7.970375
"201612","6851","11320","11320511","2","60","06",0.679875
"201612","6852","11320","11320511","1","00","00",1075.188
"201612","6852","11320","11320511","1","00","01",8.9855
"201612","6852","11320","11320511","1","00","02",157.678
"201612","6852","11320","11320511","1","00","03",213.4615
"201612","6852","11320","11320511","1","00","04",255.1245
"201612","6852","11320","11320511","1","00","05",314.9425
"201612","6852","11320","11320511","1","00","06",124.996
"201612","6852","11320","11320511","1","10","00",97.3555
"201612","6852","11320","11320511","1","10","01",1.01
"201612","6852","11320","11320511","1","10","02",10.9975
"201612","6852","11320","11320511","1","10","03",13.216
"201612","6852","11320","11320511","1","10","04",27.743
"201612","6852","11320","11320511","1","10","05",31.2725
"201612","6852","11320","11320511","1","10","06",13.1165
"201612","6852","11320","11320511","1","20","00",144.059
"201612","6852","11320","11320511","1","20","01",4.0365
"201612","6852","11320","11320511","1","20","02",12.6115
"201612","6852","11320","11320511","1","20","03",24.2115
"201612","6852","11320","11320511","1","20","04",28.9525
"201612","6852","11320","11320511","1","20","05",44.0835
"201612","6852","11320","11320511","1","20","06",30.1635
"201612","6852","11320","11320511","1","30","00",185.3195
"201612","6852","11320","11320511","1","30","01",1.414
"201612","6852","11320","11320511","1","30","02",28.9525
"201612","6852","11320","11320511","1","30","03",36.821
"201612","6852","11320","11320511","1","30","04",39.9485
"201612","6852","11320","11320511","1","30","05",54.6765
"201612","6852","11320","11320511","1","30","06",23.507
"201612","6852","11320","11320511","1","40","00",243.321
"201612","6852","11320","11320511","1","40","01",1.515
"201612","6852","11320","11320511","1","40","02",37.9305
"201612","6852","11320","11320511","1","40","03",46.808
"201612","6852","11320","11320511","1","40","04",56.996
"201612","6852","11320","11320511","1","40","05",72.9345
"201612","6852","11320","11320511","1","40","06",27.137
"201612","6852","11320","11320511","1","50","00",239.488
"201612","6852","11320","11320511","1","50","01",1.01
"201612","6852","11320","11320511","1","50","02",38.8385
"201612","6852","11320","11320511","1","50","03",50.54
"201612","6852","11320","11320511","1","50","04",56.4925
"201612","6852","11320","11320511","1","50","05",68.698
"201612","6852","11320","11320511","1","50","06",23.909
"201612","6852","11320","11320511","1","60","00",165.645
"201612","6852","11320","11320511","1","60","01",0
"201612","6852","11320","11320511","1","60","02",28.3475
"201612","6852","11320","11320511","1","60","03",41.865
"201612","6852","11320","11320511","1","60","04",44.992
"201612","6852","11320","11320511","1","60","05",43.2775
"201612","6852","11320","11320511","1","60","06",7.163
"201612","6852","11320","11320511","2","00","00",810.67625
"201612","6852","11320","11320511","2","00","01",21.085
"201612","6852","11320","11320511","2","00","02",90.93625
"201612","6852","11320","11320511","2","00","03",175.6725
"201612","6852","11320","11320511","2","00","04",185.46
"201612","6852","11320","11320511","2","00","05",238.85375
"201612","6852","11320","11320511","2","00","06",98.66875
"201612","6852","11320","11320511","2","10","00",76.83875
"201612","6852","11320","11320511","2","10","01",1.64
"201612","6852","11320","11320511","2","10","02",4.22
"201612","6852","11320","11320511","2","10","03",17.565
"201612","6852","11320","11320511","2","10","04",19.43875
"201612","6852","11320","11320511","2","10","05",24.125
"201612","6852","11320","11320511","2","10","06",9.85
"201612","6852","11320","11320511","2","20","00",134.88875
"201612","6852","11320","11320511","2","20","01",9.8375
"201612","6852","11320","11320511","2","20","02",7.5075
"201612","6852","11320","11320511","2","20","03",23.42375
"201612","6852","11320","11320511","2","20","04",27.62375
"201612","6852","11320","11320511","2","20","05",39.33375
"201612","6852","11320","11320511","2","20","06",27.1625
"201612","6852","11320","11320511","2","30","00",139.12875
"201612","6852","11320","11320511","2","30","01",4.2175
"201612","6852","11320","11320511","2","30","02",14.76875
"201612","6852","11320","11320511","2","30","03",31.38375
"201612","6852","11320","11320511","2","30","04",30.9075
"201612","6852","11320","11320511","2","30","05",40.505
"201612","6852","11320","11320511","2","30","06",17.34625
"201612","6852","11320","11320511","2","40","00",165.85125
"201612","6852","11320","11320511","2","40","01",3.28
"201612","6852","11320","11320511","2","40","02",20.8575
"201612","6852","11320","11320511","2","40","03",36.30875
"201612","6852","11320","11320511","2","40","04",37.00625
"201612","6852","11320","11320511","2","40","05",49.4125
"201612","6852","11320","11320511","2","40","06",18.98625
"201612","6852","11320","11320511","2","50","00",177.7825
"201612","6852","11320","11320511","2","50","01",2.11
"201612","6852","11320","11320511","2","50","02",25.54125
"201612","6852","11320","11320511","2","50","03",37.24
"201612","6852","11320","11320511","2","50","04",40.50625
"201612","6852","11320","11320511","2","50","05",52.45625
"201612","6852","11320","11320511","2","50","06",19.92875
"201612","6852","11320","11320511","2","60","00",116.18625
"201612","6852","11320","11320511","2","60","01",0
"201612","6852","11320","11320511","2","60","02",18.04125
"201612","6852","11320","11320511","2","60","03",29.75125
"201612","6852","11320","11320511","2","60","04",29.9775
"201612","6852","11320","11320511","2","60","05",33.02125
"201612","6852","11320","11320511","2","60","06",5.395
"201612","6879","11320","11320511","1","00","00",432.271666666667
"201612","6879","11320","11320511","1","00","01",0.259333333333333
"201612","6879","11320","11320511","1","00","02",64.2776666666667
"201612","6879","11320","11320511","1","00","03",88.5473333333333
"201612","6879","11320","11320511","1","00","04",103.087333333333
"201612","6879","11320","11320511","1","00","05",125.549666666667
"201612","6879","11320","11320511","1","00","06",50.5503333333333
"201612","6879","11320","11320511","1","10","00",35.3783333333333
"201612","6879","11320","11320511","1","10","01",0
"201612","6879","11320","11320511","1","10","02",3.664
"201612","6879","11320","11320511","1","10","03",4.84766666666667
"201612","6879","11320","11320511","1","10","04",11.25
"201612","6879","11320","11320511","1","10","05",11.2493333333333
"201612","6879","11320","11320511","1","10","06",4.36733333333333
"201612","6879","11320","11320511","1","20","00",62.313
"201612","6879","11320","11320511","1","20","01",0.259333333333333
"201612","6879","11320","11320511","1","20","02",5.51466666666667
"201612","6879","11320","11320511","1","20","03",12.2113333333333
"201612","6879","11320","11320511","1","20","04",13.2463333333333
"201612","6879","11320","11320511","1","20","05",17.8713333333333
"201612","6879","11320","11320511","1","20","06",13.21
"201612","6879","11320","11320511","1","30","00",70.1193333333333
"201612","6879","11320","11320511","1","30","01",0
"201612","6879","11320","11320511","1","30","02",11.0266666666667
"201612","6879","11320","11320511","1","30","03",13.4686666666667
"201612","6879","11320","11320511","1","30","04",14.9856666666667
"201612","6879","11320","11320511","1","30","05",20.6096666666667
